## section 2 key
## There are 221  energy bands, each with  184  time bins.
## Emission    Energy of   Brightness    std. error  
##   Time      bin center (n/sterad(p)/   (n/sterad(p)/  
##   (us)         (eV)     pulse/us/eV)  pulse/us/eV)
  1.1740e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.2515e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.3342e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.4223e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.5163e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.6164e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.7232e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.8370e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  1.9583e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  2.0877e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  2.2256e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  2.3726e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  2.5293e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  2.6964e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  2.8745e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  3.0643e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  3.2667e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  3.4825e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  3.7125e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  3.9577e-01   1.2589e-05   0.0000e+00   0.0000e+00 
  4.2191e-01   1.2589e-05   0.0000e+00   0.0000e+00 
